season,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form
1994-1995,Nott'm Forest,42,22,11,9,72,43,29,77,21,21,36,18,36,25,12,6,3,10,5,6,"D,W,W,W,W,D,W,W,W,W,W,D,D,L,L,D,W,L,L,W,L,W,D,W,W,D,L,L,D,L,L,W,W,D,W,W,D,W,W,W,D,W"
1994-1995,Liverpool,42,21,11,10,65,37,28,74,21,21,38,13,27,24,13,5,3,8,6,7,"W,L,L,D,W,W,L,W,L,W,D,W,L,W,W,D,D,D,L,W,W,W,W,D,D,D,D,L,W,W,L,W,W,L,W,W,D,L,D,W,W,W"
1994-1995,Leeds,42,20,13,9,59,38,21,73,21,21,35,15,24,23,13,5,3,7,8,6,"D,W,W,W,W,D,W,W,D,L,W,W,W,L,D,W,D,D,W,D,D,L,D,W,D,L,W,L,W,L,W,W,D,L,W,D,L,W,W,L,W,D"
1994-1995,Newcastle,42,20,12,10,67,47,20,72,21,21,46,20,21,27,14,6,1,6,6,9,"W,L,D,D,L,L,W,D,L,W,W,L,W,W,W,L,W,W,D,D,D,L,D,D,W,L,D,L,D,W,L,W,W,D,W,D,W,W,W,W,W,W"
1994-1995,Spurs,42,16,14,12,66,58,8,62,21,21,32,25,34,33,10,5,6,6,9,6,"D,L,L,D,D,W,D,W,L,D,W,D,W,D,L,D,W,L,W,W,W,D,W,D,W,W,D,D,L,L,W,L,D,D,W,L,L,L,W,L,W,W"
1994-1995,QPR,42,17,9,16,61,59,2,60,21,21,36,26,25,33,11,3,7,6,6,9,"W,W,D,L,L,L,W,W,L,W,W,L,W,W,W,D,D,W,L,L,W,D,D,W,L,W,L,W,L,W,W,L,L,D,L,L,D,D,D,L,W,L"
1994-1995,Wimbledon,42,15,11,16,48,65,-17,56,21,21,26,26,22,39,9,5,7,6,6,9,"D,D,D,D,L,L,D,W,W,W,W,L,L,W,L,L,D,L,W,W,D,W,W,D,W,L,L,W,W,L,W,L,L,L,L,W,D,W,L,L,D,D"
1994-1995,Chelsea,42,13,15,14,50,55,-5,54,21,21,25,22,25,33,7,7,7,6,8,7,"W,D,D,W,D,W,L,D,D,L,L,L,W,D,W,D,D,L,D,D,D,L,L,D,L,W,L,D,W,L,D,D,W,L,W,L,W,L,L,W,W,W"
1994-1995,Southampton,42,12,18,12,61,63,-2,54,21,21,33,27,28,36,8,9,4,4,9,8,"D,L,D,W,D,W,W,W,L,W,W,L,D,D,L,D,D,D,D,D,D,D,L,W,L,L,D,W,D,D,L,L,L,W,W,W,D,W,L,L,D,D"
1994-1995,Arsenal,42,13,12,17,52,49,3,51,21,21,27,21,25,28,6,9,6,7,3,11,"L,D,D,W,W,L,L,W,L,L,L,L,W,W,D,L,D,W,D,L,L,W,D,L,W,D,D,L,L,D,D,W,W,W,L,W,L,D,D,L,L,W"
1994-1995,Sheffield Wed,42,13,12,17,49,57,-8,51,21,21,26,26,23,31,7,7,7,6,5,10,"W,L,D,D,L,W,L,L,L,L,D,W,L,L,L,W,W,D,D,D,W,W,W,L,L,W,D,W,D,L,D,L,W,W,L,D,D,L,D,W,L,L"
1994-1995,Coventry,42,12,14,16,44,62,-18,50,21,21,23,25,21,37,7,7,7,5,7,9,"D,W,L,L,L,W,L,L,W,D,D,D,W,W,W,D,D,L,D,L,L,L,D,D,L,D,W,W,D,L,W,L,W,W,D,L,W,D,L,L,L,D"
1994-1995,Everton,42,11,17,14,44,51,-7,50,21,21,31,23,13,28,8,9,4,3,8,10,"D,W,D,D,D,D,W,L,W,D,L,D,W,L,D,W,L,D,W,D,L,W,L,D,D,W,W,W,D,W,D,L,L,L,L,D,D,L,L,L,L,D"
1994-1995,West Ham,42,13,11,18,44,48,-4,50,21,21,28,19,16,29,9,6,6,4,5,12,"D,W,L,D,W,D,W,D,W,D,D,L,W,L,L,D,W,L,L,L,W,L,D,W,D,L,L,L,W,L,L,W,L,W,W,L,W,D,L,L,L,D"
1994-1995,Man City,42,12,13,17,53,64,-11,49,21,21,37,28,16,36,8,7,6,4,6,11,"L,L,D,D,W,W,L,L,L,W,D,L,D,D,W,L,D,L,D,D,D,L,L,L,L,W,W,W,L,D,L,W,W,D,L,W,D,D,L,W,W,L"
1994-1995,Aston Villa,42,11,15,16,51,56,-5,48,21,21,27,24,24,32,6,9,6,5,6,10,"D,W,D,L,L,L,D,W,L,D,L,L,D,W,W,L,W,W,W,D,D,W,D,L,D,D,D,W,L,L,L,L,D,L,L,L,L,W,W,D,D,D"
1994-1995,Crystal Palace,42,11,12,19,34,49,-15,45,21,21,16,23,18,26,6,6,9,5,6,10,"L,L,W,L,L,L,W,D,D,W,L,W,D,L,L,W,D,L,W,L,L,D,D,L,D,L,D,L,W,W,W,W,L,L,W,L,D,D,L,D,D,L"
1994-1995,Norwich,42,10,13,19,37,54,-17,43,21,21,27,21,10,33,8,8,5,2,5,14,"D,L,L,L,L,L,L,L,W,L,D,D,D,D,L,D,L,D,L,L,W,L,L,W,W,L,W,L,D,D,L,W,D,W,W,L,W,D,D,W,D,L"
1994-1995,Leicester,42,6,11,25,45,80,-35,29,21,21,28,37,17,43,5,6,10,1,5,15,"D,D,W,L,L,L,W,L,L,L,L,L,D,L,D,D,L,W,L,L,L,D,L,D,L,D,L,W,L,L,L,L,W,L,D,D,W,L,D,L,L,L"
1994-1995,Ipswich,42,7,6,29,36,93,-57,27,21,21,24,34,12,59,5,3,13,2,3,16,"L,L,W,L,D,L,L,L,L,L,L,L,L,W,L,L,L,D,W,W,L,L,D,D,L,L,D,L,L,W,L,L,L,L,L,W,L,L,L,W,D,L"
1993-1994,Man Utd,42,27,11,4,80,38,42,92,21,21,39,13,41,25,14,6,1,13,5,3,"D,W,W,W,W,L,W,L,W,D,D,W,L,D,W,W,W,D,D,W,D,W,D,W,D,W,D,W,W,W,W,W,W,W,W,L,W,W,W,D,W,W"
1993-1994,Blackburn,42,25,9,8,63,36,27,84,21,21,31,11,32,25,14,5,2,11,4,6,"D,L,W,D,L,W,W,W,L,W,W,W,L,D,W,W,W,W,W,W,W,D,W,W,W,L,W,W,L,W,D,D,W,D,L,W,D,D,W,W,L,W"
1993-1994,Newcastle,42,23,8,11,82,41,41,77,21,21,51,14,31,27,14,4,3,9,4,8,"W,L,W,W,W,L,D,D,W,W,W,W,W,W,L,L,L,W,W,W,L,D,W,D,W,L,W,W,W,W,L,L,W,W,D,W,D,D,W,D,L,L"
1993-1994,Arsenal,42,18,17,7,53,28,25,71,21,21,25,15,28,13,10,8,3,8,9,4,"L,L,D,W,D,W,D,D,W,D,W,W,W,D,D,D,D,D,W,W,W,L,W,D,L,W,D,W,L,D,D,D,D,W,L,W,D,W,W,W,W,L"
1993-1994,Leeds,42,18,16,8,65,39,26,70,21,21,37,18,28,21,13,6,2,5,10,6,"W,D,W,L,D,W,W,D,L,W,W,D,D,D,W,L,L,D,D,D,D,W,L,W,W,W,D,D,W,D,D,D,W,W,W,W,W,L,L,L,W,D"
1993-1994,Wimbledon,42,18,11,13,56,53,3,65,21,21,35,21,21,32,12,5,4,6,6,9,"L,W,W,W,D,W,D,W,W,W,L,L,W,W,L,W,L,D,W,L,D,L,W,W,L,D,D,L,W,L,L,D,L,D,W,W,W,D,L,D,D,W"
1993-1994,Sheffield Wed,42,16,16,10,76,54,22,64,21,21,48,24,28,30,10,7,4,6,9,6,"D,D,D,W,D,W,W,W,W,L,L,D,L,D,W,W,L,W,W,D,W,W,L,D,W,W,W,D,W,D,D,D,L,D,W,L,D,D,L,L,D,L"
1993-1994,Liverpool,42,17,9,16,59,55,4,60,21,21,33,23,26,32,12,4,5,5,5,11,"L,L,W,L,W,D,L,L,L,W,W,L,W,L,L,D,W,W,D,W,D,D,D,D,W,L,W,L,W,W,D,W,D,L,L,L,L,W,L,W,W,W"
1993-1994,QPR,42,16,12,14,62,61,1,60,21,21,32,29,30,32,8,7,6,8,5,8,"W,D,L,D,D,W,D,L,L,L,W,W,D,W,D,L,W,L,D,L,D,W,W,L,D,D,L,W,W,L,W,W,W,D,D,L,W,W,L,W,L,L"
1993-1994,Aston Villa,42,15,12,15,46,50,-4,57,21,21,23,18,23,32,8,5,8,7,7,7,"W,L,L,L,W,L,D,L,D,L,L,L,W,D,D,W,W,D,W,L,W,L,L,D,D,L,L,W,W,W,W,D,L,D,W,D,W,W,L,D,D,W"
1993-1994,Coventry,42,14,14,14,43,45,-2,56,21,21,23,17,20,28,9,7,5,5,7,9,"D,W,W,D,D,W,W,L,W,L,L,L,L,W,D,L,W,L,L,D,W,W,D,L,W,L,L,D,W,D,L,D,L,L,D,D,W,D,D,D,W,W"
1993-1994,Norwich,42,12,17,13,65,61,4,53,21,21,26,29,39,32,4,9,8,8,8,5,"D,W,L,D,L,D,L,L,L,W,L,L,D,D,D,D,D,D,D,L,W,L,W,L,W,D,L,D,W,D,D,W,W,W,D,L,D,D,W,W,W,L"
1993-1994,West Ham,42,13,13,16,47,58,-11,52,21,21,26,31,21,27,6,7,8,7,6,8,"D,D,W,L,L,W,L,W,W,L,L,L,D,D,D,D,L,D,W,L,D,L,W,L,W,W,D,W,L,W,D,D,W,L,W,D,L,L,W,D,L,L"
